timestamp,Stempel_innen_mitte,Stempel_aussen,Matrize_oben_zarge,Matrize_mitte_zarge,Matrize_unten_zarge,Werkstueck_boden,Werkstueck_flansch,Werkstueck_zarge_mitte,Werkstück_zarge_unten,Werkstueck_zarge_oben
362.651,90.0,90.0,90.0,90.0,90.0,883.414,883.414,883.414,883.414,883.414
362.969,90.0,90.0,90.0,90.0,90.0,876.142,876.142,876.142,876.142,876.142
363.287,90.0,90.0,90.0,90.0,90.0,869.035,869.035,869.035,869.035,869.035
363.637,90.0,90.0,90.0,90.0,90.0,861.395,861.395,861.395,861.395,861.395
363.987,90.0,90.0,90.0,90.0,90.0,853.938,853.938,853.938,853.938,853.938
364.337,90.0,90.0,90.0,90.0,90.0,846.657,846.657,846.657,846.657,846.657
364.687,90.0,90.0,90.0,90.0,90.0,839.544,839.544,839.544,839.544,839.544
365.037,90.0,90.0,90.0,90.0,90.0,832.594,832.594,832.594,832.594,832.594
365.387,90.0,90.0,90.0,90.0,90.0,825.799,825.799,825.799,825.799,825.799
365.737,90.0,90.0,90.0,90.0,90.0,819.154,819.154,819.154,819.154,819.154
366.087,90.0,90.0,90.0,90.0,90.0,812.653,812.653,812.653,812.653,812.653
366.437,90.0,90.0,90.0,90.0,90.0,806.29,806.29,806.29,806.29,806.29
366.787,90.0,90.0,90.0,90.0,90.0,800.062,800.062,800.062,800.062,800.062
367.0,90.0,90.0,90.0,90.0,90.0,796.315,796.315,796.315,796.315,796.315
367.029,90.1048,90.0,90.0,90.0,90.0,794.983,795.806,795.806,795.385,795.806
367.03,90.1086,90.0,90.0,90.0,90.0,794.936,795.789,795.789,795.352,795.789
367.059,90.3408,90.0,90.0,90.0,90.0,792.922,794.275,794.319,794.137,794.346
367.059,90.3412,90.0,90.0,90.0,90.0,792.918,794.272,794.316,794.135,794.343
367.059,90.3417,90.0,90.0,90.0,90.0,792.914,794.269,794.314,794.133,794.341
367.059,90.3426,90.0,90.0,90.0,90.0,792.906,794.263,794.308,794.128,794.335
367.059,90.344,90.0,90.0,90.0,90.0,792.895,794.254,794.299,794.121,794.327
367.06,90.346,90.0,90.0,90.0,90.0,792.877,794.241,794.286,794.11,794.314
367.06,90.348,90.0,90.0,90.0,90.0,792.859,794.228,794.273,794.099,794.301
367.07,90.4333,90.0,90.0,90.0,90.0,792.168,793.74,793.735,793.679,793.812
367.08,90.5224,90.0,90.0,90.0,90.0,791.525,793.348,793.211,793.223,793.395
367.09,90.6122,90.0,90.0,90.0,90.0,790.956,793.027,792.732,792.7,793.057
367.1,90.7018,90.0,90.0,90.0,90.0,790.447,792.753,792.29,792.103,792.773
367.11,90.7908,90.0,90.0,90.0,90.0,789.983,792.513,791.877,791.429,792.524
367.12,90.8792,90.0,90.0,90.0,90.0,789.551,792.294,791.49,790.707,792.301
367.13,90.966,90.0,90.0,90.0,90.0,789.161,792.091,791.13,789.957,792.095
367.14,91.0497,90.0,90.0,90.0,90.0,788.827,791.898,790.789,789.189,791.9
367.15,91.1287,90.0,90.0,90.0,90.0,788.547,791.712,790.461,788.424,791.713
367.16,91.2025,90.0,90.0,90.0,90.0,788.304,791.531,790.142,787.691,791.531
367.17,91.2712,90.0,90.0,90.0,90.0,788.089,791.353,789.822,787.008,791.353
367.18,91.3351,90.0,90.0,90.0,90.0,787.893,791.125,789.49,786.373,791.177
367.19,91.3945,90.0,90.0,90.0,90.0,787.708,790.75,789.106,785.79,791.004
367.2,91.4495,90.0,90.0,90.0,90.0,787.529,790.258,788.605,785.247,790.831
367.21,91.5005,90.0,90.0,90.0,90.0,787.356,789.684,787.997,784.74,790.659
367.22,91.5477,90.0,90.0,90.0,90.0,787.187,789.061,787.37,784.264,790.488
367.23,91.5912,90.0,90.0001,90.0,90.0,787.021,788.419,786.794,783.811,790.317
367.24,91.6315,90.0,90.0006,90.0,90.0,786.855,787.781,786.275,783.379,790.146
367.25,91.6685,90.0,90.002,90.0,90.0,786.691,787.166,785.802,782.961,789.976
367.26,91.7027,90.0,90.0053,90.0,90.0,786.528,786.586,785.361,782.555,789.806
367.27,91.7341,90.0,90.0114,90.0,90.0,786.365,786.045,784.944,782.159,789.636
367.28,91.7629,90.0,90.0213,90.0,90.0,786.202,785.547,784.542,781.768,789.466
367.29,91.7892,90.0,90.0352,90.0,90.0,786.038,785.089,784.151,781.381,789.297
367.3,91.8134,90.0,90.0532,90.0,90.0,785.875,784.669,783.77,780.997,789.127
367.31,91.8354,90.0,90.0753,90.0,90.0,785.712,784.278,783.395,780.614,788.958
367.32,91.8554,90.0,90.1012,90.0,90.0,785.548,783.911,783.021,780.231,788.793
367.33,91.8735,90.0,90.1309,90.0,90.0,785.384,783.56,782.649,779.847,788.633
367.34,91.89,90.0,90.1639,90.0,90.0,785.22,783.221,782.28,779.463,788.468
367.35,91.9048,90.0,90.2001,90.0,90.0,785.056,782.893,781.908,779.076,788.279
367.36,91.918,90.0,90.2388,90.0001,90.0,784.892,782.584,781.537,778.691,788.049
367.37,91.9299,90.0,90.2787,90.0007,90.0,784.728,782.301,781.161,778.309,787.736
367.38,91.9405,90.0,90.3173,90.0022,90.0,784.563,782.043,780.751,777.931,787.279
367.39,91.9498,90.0,90.3541,90.0056,90.0,784.399,781.798,780.302,777.553,786.737
367.4,91.9579,90.0001,90.3892,90.0124,90.0,784.235,781.536,779.822,777.171,786.187
367.41,91.965,90.0006,90.4234,90.0252,90.0,784.07,781.252,779.318,776.788,785.652
367.42,91.9711,90.0027,90.4575,90.047,90.0,783.908,780.958,778.799,776.402,785.119
367.43,91.9762,90.008,90.4926,90.0805,90.0,783.746,780.625,778.272,776.016,784.583
367.44,91.9805,90.0212,90.5296,90.1289,90.0,783.585,780.084,777.736,775.629,784.034
