,'timestamp', 'Stempel_innen_mitte', 'Stempel_aussen', 'Matrize_zarge_oben', 'Matrize_zarge_mitte','Matrize_zarge_unten', 'Werkstueck_boden', 'Werkstueck_zarge_unten' , 'Werkstueck_zarge_mitte', 'Werkstueck_zarge_oben'
0.0,70.00345611572266,70.0,70.0,70.0,70.0,824.996337890625,824.996337890625,823.9643554687501,823.9643554687501,824.996337890625
5.08055543899536,70.01409149169922,70.0,70.0,70.0028076171875,70.0,823.4244995117188,823.4244995117188,823.4037475585938,823.4033813476561,823.429931640625
10.161110877990723,70.01410675048828,70.0,70.0,70.0028076171875,70.0,823.4215087890626,823.4215087890626,823.4026489257811,823.4022827148436,823.4269409179686
15.241666793823242,70.01411437988281,70.0,70.0,70.0028076171875,70.0,823.4207153320312,823.4207153320312,823.4024047851561,823.4019775390626,823.4261474609374
20.322221755981445,70.01412200927734,70.0,70.0,70.00281524658203,70.0,823.419189453125,823.419189453125,823.4018554687501,823.4014892578125,823.4246215820312
25.40277671813965,70.01414489746094,70.0,70.0,70.00282287597656,70.0,823.4161376953125,823.4161376953125,823.4007568359374,823.400390625,823.421630859375
30.483333587646484,70.01417541503906,70.0,70.0,70.0028305053711,70.0,823.4115600585938,823.4115600585938,823.3991088867188,823.3987426757811,823.4170532226561
35.56388854980469,70.01423645019531,70.0,70.0,70.00284576416016,70.0,823.40234375,823.40234375,823.3958740234374,823.3955078125,823.4078369140626
40.64444351196289,70.01433563232422,70.0,70.0,70.00286865234375,70.0,823.388427734375,823.388427734375,823.3909912109374,823.390625,823.3939819335938
45.72499847412109,70.01441955566406,70.0,70.0,70.00289154052734,70.0,823.375244140625,823.375244140625,823.3864135742188,823.385986328125,823.380859375
50.8055534362793,70.0,70.0,70.0,70.0,70.0,925.3195190429688,925.3195190429688,923.9488525390624,923.9488525390624,925.3195190429688
55.88610839843751,70.0,70.0,70.0,70.0,70.0,918.0241088867188,918.0241088867188,916.680419921875,916.680419921875,918.0241088867188
60.96666717529297,70.0,70.0,70.0,70.0,70.0,910.8881225585936,910.8881225585936,909.5704956054688,909.5704956054688,910.8881225585936
66.0472183227539,70.0,70.0,70.0,70.0,70.0,903.080322265625,903.080322265625,901.7908325195312,901.7908325195312,903.080322265625
71.57096099853516,70.0,70.0,70.0,70.0,70.0,895.4575195312499,895.4575195312499,894.195068359375,894.195068359375,895.4575195312499
77.0947036743164,70.0,70.0,70.0,70.0,70.0,888.0125122070312,888.0125122070312,886.7760009765626,886.7760009765626,888.0125122070312
82.61844635009764,70.0,70.0,70.0,70.0,70.0,880.7382202148436,880.7382202148436,879.5266723632812,879.5266723632812,880.7382202148436
