,'timestamp', 'Stempel_innen_mitte', 'Stempel_aussen', 'Matrize_zarge_oben', 'Matrize_zarge_mitte','Matrize_zarge_unten', 'Werkstueck_boden', 'Werkstueck_zarge_unten' , 'Werkstueck_zarge_mitte', 'Werkstueck_zarge_oben'
0.0,150.00328063964844,150.0,150.0,150.0,150.0,824.996337890625,824.996337890625,823.9643554687501,823.9643554687501,824.996337890625
5.08055543899536,150.0133514404297,150.0,150.0,150.002685546875,150.0,823.5233764648436,823.5233154296875,823.4037475585938,823.4033813476561,823.5277709960938
10.161110877990723,150.01336669921875,150.0,150.0,150.002685546875,150.0,823.5205078125,823.5205078125,823.4026489257811,823.40234375,823.5249633789062
15.241666793823242,150.01339721679688,150.0,150.0,150.002685546875,150.0,823.5176391601561,823.5176391601561,823.4015502929686,823.4012451171875,823.5220947265626
20.322221755981445,150.013427734375,150.0,150.0,150.00270080566406,150.0,823.5133666992188,823.5133666992188,823.3999633789062,823.3995971679686,823.517822265625
25.40277671813965,150.01345825195312,150.0,150.0,150.00271606445312,150.0,823.5068969726561,823.5068969726561,823.3975219726561,823.3971557617188,823.5113525390626
30.483333587646484,150.01348876953125,150.0,150.0,150.00271606445312,150.0,823.503662109375,823.503662109375,823.3963012695312,823.3959350585938,823.5081787109374
35.56388854980469,150.01351928710935,150.0,150.0,150.0027313232422,150.0,823.498779296875,823.498779296875,823.3944702148436,823.3941040039062,823.5032958984374
40.64444351196289,150.01356506347656,150.0,150.0,150.0027313232422,150.0,823.491455078125,823.491455078125,823.3917236328125,823.391357421875,823.4960327148436
45.72499847412109,150.01364135742188,150.0,150.0,150.0027618408203,150.0,823.48046875,823.48046875,823.3875732421875,823.3872680664062,823.4850463867188
50.8055534362793,150.013671875,150.0,150.0,150.0027618408203,150.0,823.4772338867188,823.4772338867188,823.3864135742188,823.3860473632812,823.4818115234374
55.88610839843751,150.0,150.0,150.0,150.0,150.0,918.0241088867188,918.0241088867188,916.680419921875,916.680419921875,918.0241088867188
60.96666717529297,150.0,150.0,150.0,150.0,150.0,910.8881225585936,910.8881225585936,909.5704956054688,909.5704956054688,910.8881225585936
66.0472183227539,150.0,150.0,150.0,150.0,150.0,903.080322265625,903.080322265625,901.7908325195312,901.7908325195312,903.080322265625
71.57096099853516,150.0,150.0,150.0,150.0,150.0,895.4575195312499,895.4575195312499,894.195068359375,894.195068359375,895.4575195312499
77.0947036743164,150.0,150.0,150.0,150.0,150.0,888.0125122070312,888.0125122070312,886.7760009765626,886.7760009765626,888.0125122070312
82.61844635009764,150.0,150.0,150.0,150.0,150.0,880.7382202148436,880.7382202148436,879.5266723632812,879.5266723632812,880.7382202148436
88.14218902587889,150.0,150.0,150.0,150.0,150.0,873.6278686523436,873.6278686523436,872.4404296875,872.4404296875,873.6278686523436
93.66593170166016,150.0,150.0,150.0,150.0,150.0,865.8756713867188,865.8756713867188,864.714111328125,864.714111328125,865.8756713867188
99.1896743774414,150.0,150.0,150.0,150.0,150.0,858.3115234375,858.3115234375,857.1747436523436,857.1747436523436,858.3115234375
104.71341705322264,150.0,150.0,150.0,150.0,150.0,850.9275512695312,850.9275512695312,849.814697265625,849.814697265625,850.9275512695312
110.2371597290039,150.0,150.0,150.0,150.0,150.0,843.7164306640626,843.7164306640626,842.6265258789062,842.6265258789062,843.7164306640626
115.76090240478516,150.0,150.0,150.0,150.0,150.0,836.6712646484374,836.6712646484374,835.6033935546875,835.6033935546875,836.6712646484374
121.28465270996092,150.0,150.0,150.0,150.0,150.0,829.7854614257811,829.7854614257811,828.7388305664062,828.7388305664062,829.7854614257811
126.80839538574217,150.0,150.0,150.0,150.0,150.0,825.5772094726561,825.5772094726561,824.5435180664062,824.5435180664062,825.5772094726561
132.33213806152344,150.0,150.0,150.0,150.0,150.0,408.0437927246094,408.0437927246094,408.0437927246094,408.0437927246094,408.0437927246094
137.8558807373047,150.0,150.0,150.0,150.0,150.0,422.9629821777344,422.9629821777344,422.9629821777344,422.9629821777344,422.9629821777344
143.3796234130859,150.0,150.0,150.0,150.0,150.0,437.8350524902344,437.8350524902344,437.8350524902344,437.8350524902344,437.8350524902344
149.32228088378906,150.0,150.0,150.0,150.0,150.0,453.7810668945313,453.7810668945313,453.7810668945313,453.7810668945313,453.7810668945313
155.26495361328125,150.0,150.0,150.0,150.0,150.0,469.6737060546875,469.6737060546875,469.6737060546875,469.6737060546875,469.6737060546875
161.20762634277344,150.0,150.0,150.0,150.0,150.0,485.51342773437506,485.51342773437506,485.51342773437506,485.51342773437506,485.51342773437506
167.15029907226562,150.0,150.0,150.0,150.0,150.0,501.3023071289063,501.3023071289063,501.3023071289063,501.3023071289063,501.3023071289063
173.09295654296875,150.0,150.0,150.0,150.0,150.0,517.0565795898438,517.0565795898438,517.0565795898438,517.0565795898438,517.0565795898438
179.0356292724609,150.0,150.0,150.0,150.0,150.0,532.7764282226562,532.7764282226562,532.7764282226562,532.7764282226562,532.7764282226562
184.97830200195312,150.0,150.0,150.0,150.0,150.0,548.4620361328125,548.4620361328125,548.4620361328125,548.4620361328125,548.4620361328125
190.92095947265625,150.0,150.0,150.0,150.0,150.0,564.11376953125,564.11376953125,564.11376953125,564.11376953125,564.11376953125
196.86363220214844,150.0,150.0,150.0,150.0,150.0,579.731689453125,579.731689453125,579.731689453125,579.731689453125,579.731689453125
202.80630493164065,150.0,150.0,150.0,150.0,150.0,595.3160400390625,595.3160400390625,595.3160400390625,595.3160400390625,595.3160400390625
208.74896240234372,150.0,150.0,150.0,150.0,150.0,610.8758544921875,610.8758544921875,610.8758544921875,610.8758544921875,610.8758544921875
214.69163513183597,150.0,150.0,150.0,150.0,150.0,626.4149169921875,626.4149169921875,626.4149169921875,626.4149169921875,626.4149169921875
220.63430786132807,150.0,150.0,150.0,150.0,150.0,641.933349609375,641.933349609375,641.933349609375,641.933349609375,641.933349609375
226.57696533203125,150.0,150.0,150.0,150.0,150.0,657.4310913085938,657.4310913085938,657.4310913085938,657.4310913085938,657.4310913085938
232.51963806152344,150.0,150.0,150.0,150.0,150.0,672.9083862304688,672.9083862304688,672.9083862304688,672.9083862304688,672.9083862304688
238.4623107910156,150.0,150.0,150.0,150.0,150.0,688.365234375,688.365234375,688.365234375,688.365234375,688.365234375
