,'timestamp', 'Stempel_innen_mitte', 'Stempel_aussen', 'Matrize_zarge_oben', 'Matrize_zarge_mitte','Matrize_zarge_unten', 'Werkstueck_boden', 'Werkstueck_zarge_unten' , 'Werkstueck_zarge_mitte', 'Werkstueck_zarge_oben'
0.0,110.00337982177734,110.0,110.0,110.0,110.0,824.996337890625,824.996337890625,823.9643554687501,823.9643554687501,824.996337890625
5.08055543899536,110.01374053955078,110.0,110.0,110.00274658203124,110.0,823.4736938476561,823.4736938476561,823.4037475585938,823.4033813476561,823.4785766601561
10.161110877990723,110.01376342773436,110.0,110.0,110.00275421142578,110.0,823.4707641601561,823.4707641601561,823.4026489257811,823.4022827148436,823.4756469726561
15.241666793823242,110.01376342773436,110.0,110.0,110.00275421142578,110.0,823.4700317382812,823.4700317382812,823.4024047851561,823.4020385742188,823.4749145507811
20.322221755981445,110.01377868652344,110.0,110.0,110.00275421142578,110.0,823.468505859375,823.468505859375,823.4018554687501,823.4014892578125,823.4734497070312
25.40277671813965,110.01377868652344,110.0,110.0,110.00275421142578,110.0,823.4683227539062,823.4683227539062,823.4017944335938,823.4014282226561,823.4732666015626
30.483333587646484,110.01377868652344,110.0,110.0,110.00275421142578,110.0,823.4679565429686,823.4679565429686,823.401611328125,823.4013061523436,823.472900390625
35.56388854980469,110.01378631591795,110.0,110.0,110.00275421142578,110.0,823.4672241210938,823.4672241210938,823.4013671875,823.4010009765626,823.4721679687501
40.64444351196289,110.0137939453125,110.0,110.0,110.00276184082033,110.0,823.4661254882812,823.4661254882812,823.4009399414062,823.4005737304686,823.4710693359374
45.72499847412109,110.01380920410156,110.0,110.0,110.00276184082033,110.0,823.4639282226561,823.4639282226561,823.400146484375,823.3997802734374,823.4688720703125
50.8055534362793,110.01383972167967,110.0,110.0,110.00276947021484,110.0,823.4594726562499,823.4594726562499,823.3984985351561,823.398193359375,823.4644165039062
55.88610839843751,110.01385498046876,110.0,110.0,110.00277709960936,110.0,823.457275390625,823.457275390625,823.397705078125,823.3973388671875,823.4622192382812
