,'timestamp', 'Stempel_innen_mitte', 'Stempel_aussen', 'Matrize_zarge_oben', 'Matrize_zarge_mitte','Matrize_zarge_unten', 'Werkstueck_boden', 'Werkstueck_zarge_unten' , 'Werkstueck_zarge_mitte', 'Werkstueck_zarge_oben'
0.0,70.0,70.0,70.0,70.0,70.0,1000.1074829101562,1000.1074829101562,1000.1074829101562,1000.1074829101562,1000.1074829101562
5.08055543899536,70.0,70.0,70.0,70.0,70.0,992.7984619140624,992.7984619140624,991.3121948242189,991.3121948242189,992.7984619140624
10.161110877990723,70.0,70.0,70.0,70.0,70.0,985.0055541992189,985.0055541992189,983.4130859375,983.4130859375,985.0055541992189
15.241666793823242,70.0,70.0,70.0,70.0,70.0,977.3289794921875,977.3289794921875,975.7553710937501,975.7553710937501,977.3289794921875
20.322221755981445,70.0,70.0,70.0,70.0,70.0,969.8160400390624,969.8160400390624,968.2719726562499,968.2719726562499,969.8160400390624
25.40277671813965,70.0,70.0,70.0,70.0,70.0,962.4652099609376,962.4652099609376,960.9506835937501,960.9506835937501,962.4652099609376
30.483333587646484,70.0,70.0,70.0,70.0,70.0,955.2708740234376,955.2708740234376,953.7850341796877,953.7850341796877,955.2708740234376
35.56388854980469,70.0,70.0,70.0,70.0,70.0,948.2274169921875,948.2274169921875,946.769287109375,946.769287109375,948.2274169921875
40.64444351196289,70.0,70.0,70.0,70.0,70.0,148.7960968017578,148.7960968017578,148.7960968017578,148.7960968017578,148.7960968017578
45.72499847412109,70.0,70.0,70.0,70.0,70.0,164.01918029785156,164.01918029785156,164.01918029785156,164.01918029785156,164.01918029785156
50.8055534362793,70.0,70.0,70.0,70.0,70.0,179.09474182128906,179.09474182128906,179.09474182128906,179.09474182128906,179.09474182128906
55.88610839843751,70.0,70.0,70.0,70.0,70.0,194.0269470214844,194.0269470214844,194.0269470214844,194.0269470214844,194.0269470214844
60.96666717529297,70.0,70.0,70.0,70.0,70.0,208.84263610839844,208.84263610839844,208.84263610839844,208.84263610839844,208.84263610839844
66.0472183227539,70.0,70.0,70.0,70.0,70.0,223.5589141845703,223.5589141845703,223.5589141845703,223.5589141845703,223.5589141845703
71.57096099853516,70.0,70.0,70.0,70.0,70.0,239.44358825683597,239.44358825683597,239.44358825683597,239.44358825683597,239.44358825683597
77.0947036743164,70.0,70.0,70.0,70.0,70.0,255.21554565429688,255.21554565429688,255.21554565429688,255.21554565429688,255.21554565429688
82.61844635009764,70.0,70.0,70.0,70.0,70.0,270.87713623046875,270.87713623046875,270.87713623046875,270.87713623046875,270.87713623046875
88.14218902587889,70.0,70.0,70.0,70.0,70.0,286.4306030273437,286.4306030273437,286.4306030273437,286.4306030273437,286.4306030273437
93.66593170166016,70.0,70.0,70.0,70.0,70.0,301.88214111328125,301.88214111328125,301.88214111328125,301.88214111328125,301.88214111328125
99.1896743774414,70.0,70.0,70.0,70.0,70.0,317.2599792480469,317.2599792480469,317.2599792480469,317.2599792480469,317.2599792480469
104.71341705322264,70.0,70.0,70.0,70.0,70.0,332.56500244140625,332.56500244140625,332.56500244140625,332.56500244140625,332.56500244140625
110.2371597290039,70.0,70.0,70.0,70.0,70.0,347.7982177734375,347.7982177734375,347.7982177734375,347.7982177734375,347.7982177734375
115.76090240478516,70.0,70.0,70.0,70.0,70.0,362.96069335937506,362.96069335937506,362.96069335937506,362.96069335937506,362.96069335937506
121.28465270996092,70.0,70.0,70.0,70.0,70.0,378.0533447265625,378.0533447265625,378.0533447265625,378.0533447265625,378.0533447265625
126.80839538574217,70.0,70.0,70.0,70.0,70.0,393.0771484375,393.0771484375,393.0771484375,393.0771484375,393.0771484375
132.33213806152344,70.0,70.0,70.0,70.0,70.0,408.0437927246094,408.0437927246094,408.0437927246094,408.0437927246094,408.0437927246094
137.8558807373047,70.0,70.0,70.0,70.0,70.0,422.9629821777344,422.9629821777344,422.9629821777344,422.9629821777344,422.9629821777344
143.3796234130859,70.0,70.0,70.0,70.0,70.0,437.8350524902344,437.8350524902344,437.8350524902344,437.8350524902344,437.8350524902344
149.32228088378906,70.0,70.0,70.0,70.0,70.0,453.7810668945313,453.7810668945313,453.7810668945313,453.7810668945313,453.7810668945313
155.26495361328125,70.0,70.0,70.0,70.0,70.0,469.6737060546875,469.6737060546875,469.6737060546875,469.6737060546875,469.6737060546875
161.20762634277344,70.0,70.0,70.0,70.0,70.0,485.51342773437506,485.51342773437506,485.51342773437506,485.51342773437506,485.51342773437506
167.15029907226562,70.0,70.0,70.0,70.0,70.0,501.3023071289063,501.3023071289063,501.3023071289063,501.3023071289063,501.3023071289063
173.09295654296875,70.0,70.0,70.0,70.0,70.0,517.0565795898438,517.0565795898438,517.0565795898438,517.0565795898438,517.0565795898438
179.0356292724609,70.0,70.0,70.0,70.0,70.0,532.7764282226562,532.7764282226562,532.7764282226562,532.7764282226562,532.7764282226562
184.97830200195312,70.0,70.0,70.0,70.0,70.0,548.4620361328125,548.4620361328125,548.4620361328125,548.4620361328125,548.4620361328125
190.92095947265625,70.0,70.0,70.0,70.0,70.0,564.11376953125,564.11376953125,564.11376953125,564.11376953125,564.11376953125
196.86363220214844,70.0,70.0,70.0,70.0,70.0,579.731689453125,579.731689453125,579.731689453125,579.731689453125,579.731689453125
202.80630493164065,70.0,70.0,70.0,70.0,70.0,595.3160400390625,595.3160400390625,595.3160400390625,595.3160400390625,595.3160400390625
208.74896240234372,70.0,70.0,70.0,70.0,70.0,610.8758544921875,610.8758544921875,610.8758544921875,610.8758544921875,610.8758544921875
214.69163513183597,70.0,70.0,70.0,70.0,70.0,626.4149169921875,626.4149169921875,626.4149169921875,626.4149169921875,626.4149169921875
220.63430786132807,70.0,70.0,70.0,70.0,70.0,641.933349609375,641.933349609375,641.933349609375,641.933349609375,641.933349609375
226.57696533203125,70.0,70.0,70.0,70.0,70.0,657.4310913085938,657.4310913085938,657.4310913085938,657.4310913085938,657.4310913085938
232.51963806152344,70.0,70.0,70.0,70.0,70.0,672.9083862304688,672.9083862304688,672.9083862304688,672.9083862304688,672.9083862304688
238.4623107910156,70.0,70.0,70.0,70.0,70.0,688.365234375,688.365234375,688.365234375,688.365234375,688.365234375
244.4049835205078,70.0,70.0,70.0,70.0,70.0,703.802734375,703.802734375,703.802734375,703.802734375,703.802734375
250.3476409912109,70.0,70.0,70.0,70.0,70.0,719.2239990234375,719.2239990234375,719.2239990234375,719.2239990234375,719.2239990234375
256.2903137207031,70.0,70.0,70.0,70.0,70.0,734.6290893554686,734.6290893554686,734.6290893554686,734.6290893554686,734.6290893554686
262.23297119140625,70.0,70.0,70.0,70.0,70.0,750.0180664062499,750.0180664062499,750.0180664062499,750.0180664062499,750.0180664062499
268.1756591796875,70.0,70.0,70.0,70.0,70.0,765.3909301757811,765.3909301757811,765.3909301757811,765.3909301757811,765.3909301757811
274.1183166503906,70.0,70.0,70.0,70.0,70.0,780.747802734375,780.747802734375,780.747802734375,780.747802734375,780.747802734375
280.0609741210937,70.0,70.0,70.0,70.0,70.0,796.0886840820312,796.0886840820312,796.0886840820312,796.0886840820312,796.0886840820312
286.003662109375,70.0,70.0,70.0,70.0,70.0,811.4077148437501,811.4077148437501,811.4077148437501,811.4077148437501,811.4077148437501
291.94631958007807,70.0,70.0,70.0,70.0,70.0,826.7030029296875,826.7030029296875,826.7030029296875,826.7030029296875,826.7030029296875
297.88897705078125,70.0,70.0,70.0,70.0,70.0,841.974609375,841.974609375,841.974609375,841.974609375,841.974609375
303.8316650390625,70.0,70.0,70.0,70.0,70.0,857.22265625,857.22265625,857.22265625,857.22265625,857.22265625
309.7743225097656,70.0,70.0,70.0,70.0,70.0,872.4473266601561,872.4473266601561,872.4473266601561,872.4473266601561,872.4473266601561
315.71697998046875,70.0,70.0,70.0,70.0,70.0,887.6486206054686,887.6486206054686,887.6486206054686,887.6486206054686,887.6486206054686
321.65966796875,70.0,70.0,70.0,70.0,70.0,902.8259887695312,902.8259887695312,902.8259887695312,902.8259887695312,902.8259887695312
327.6023254394531,70.0,70.0,70.0,70.0,70.0,917.9763793945312,917.9763793945312,917.9763793945312,917.9763793945312,917.9763793945312
333.54498291015625,70.0,70.0,70.0,70.0,70.0,933.0999755859376,933.0999755859376,933.0999755859376,933.0999755859376,933.0999755859376
339.4876708984375,70.0,70.0,70.0,70.0,70.0,948.1968994140624,948.1968994140624,948.1968994140624,948.1968994140624,948.1968994140624
345.4303283691406,70.0,70.0,70.0,70.0,70.0,963.267333984375,963.267333984375,963.267333984375,963.267333984375,963.267333984375
351.3729858398437,70.0,70.0,70.0,70.0,70.0,978.3113403320312,978.3113403320312,978.3113403320312,978.3113403320312,978.3113403320312
357.315673828125,70.0,70.0,70.0,70.0,70.0,993.3291015625,993.3291015625,993.3291015625,993.3291015625,993.3291015625
360.0,70.0,70.0,70.0,70.0,70.0,1000.1074829101562,1000.1074829101562,1000.1074829101562,1000.1074829101562,1000.1074829101562
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24588617682456967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49177235364913935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7376585006713867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9835447072982787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.229430913925171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4753170013427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7212032079696655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380.0,70.01874542236328,70.0,70.0,70.0041275024414,70.0,822.8150634765626,822.8150634765626,823.5465698242188,823.5459594726561,822.8289184570312
380.0099999997765,70.01874542236328,70.0,70.0,70.0041275024414,70.0,822.8150634765626,822.8150634765626,823.5465698242188,823.5459594726561,822.8289184570312
380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
